id	_pdbx_deposit_group.group_title	_pdbx_deposit_group.group_description
D_1001405621	To be published	A set of fabp crystal structures
D_1001405622	To be published	A set of fabp crystal structures
D_1001405623	To be published	A set of fabp crystal structures
D_1001405624	To be published	A set of fabp crystal structures
D_1001405625	To be published	A set of fabp crystal structures
D_1001405626	To be published	A set of fabp crystal structures
D_1001405627	To be published	A set of fabp crystal structures
D_1001405628	To be published	A set of fabp crystal structures
D_1001405629	To be published	A set of fabp crystal structures
D_1001405630	To be published	A set of fabp crystal structures
D_1001405631	To be published	A set of fabp crystal structures
D_1001405632	To be published	A set of fabp crystal structures
D_1001405633	To be published	A set of fabp crystal structures
D_1001405634	To be published	A set of fabp crystal structures
