id	_exptl_crystal_grow.temp	_exptl_crystal_grow.method
D_1001405107	293	VAPOR DIFFUSION, SITTING DROP
D_1001405108	293	VAPOR DIFFUSION, SITTING DROP
D_1001405109	293	VAPOR DIFFUSION, SITTING DROP
D_1001405110	293	VAPOR DIFFUSION, SITTING DROP
D_1001405111	293	VAPOR DIFFUSION, SITTING DROP
D_1001405112	293	VAPOR DIFFUSION, SITTING DROP
D_1001405113	293	VAPOR DIFFUSION, SITTING DROP
D_1001405114	293	VAPOR DIFFUSION, SITTING DROP
D_1001405115	293	VAPOR DIFFUSION, SITTING DROP
D_1001405116	293	VAPOR DIFFUSION, SITTING DROP
D_1001405117	293	VAPOR DIFFUSION, SITTING DROP
D_1001405118	293	VAPOR DIFFUSION, SITTING DROP
D_1001405119	293	VAPOR DIFFUSION, SITTING DROP
D_1001405120	293	VAPOR DIFFUSION, SITTING DROP
D_1001405121	293	VAPOR DIFFUSION, SITTING DROP
D_1001405122	293	VAPOR DIFFUSION, SITTING DROP
D_1001405123	293	VAPOR DIFFUSION, SITTING DROP
D_1001405124	293	VAPOR DIFFUSION, SITTING DROP
D_1001405125	293	VAPOR DIFFUSION, SITTING DROP
D_1001405126	293	VAPOR DIFFUSION, SITTING DROP
D_1001405127	293	VAPOR DIFFUSION, SITTING DROP
D_1001405128	293	VAPOR DIFFUSION, SITTING DROP
D_1001405129	293	VAPOR DIFFUSION, SITTING DROP
D_1001405130	293	VAPOR DIFFUSION, SITTING DROP
D_1001405131	293	VAPOR DIFFUSION, SITTING DROP
D_1001405132	293	VAPOR DIFFUSION, SITTING DROP
D_1001405133	293	VAPOR DIFFUSION, SITTING DROP
D_1001405134	293	VAPOR DIFFUSION, SITTING DROP
D_1001405135	293	VAPOR DIFFUSION, SITTING DROP
D_1001405136	293	VAPOR DIFFUSION, SITTING DROP
D_1001405137	293	VAPOR DIFFUSION, SITTING DROP
D_1001405138	293	VAPOR DIFFUSION, SITTING DROP
D_1001405139	293	VAPOR DIFFUSION, SITTING DROP
D_1001405140	293	VAPOR DIFFUSION, SITTING DROP
D_1001405141	293	VAPOR DIFFUSION, SITTING DROP
D_1001405142	293	VAPOR DIFFUSION, SITTING DROP
D_1001405143	293	VAPOR DIFFUSION, SITTING DROP
D_1001405144	293	VAPOR DIFFUSION, SITTING DROP
D_1001405145	293	VAPOR DIFFUSION, SITTING DROP
D_1001405146	293	VAPOR DIFFUSION, SITTING DROP
D_1001405147	293	VAPOR DIFFUSION, SITTING DROP
D_1001405148	293	VAPOR DIFFUSION, SITTING DROP
D_1001405149	293	VAPOR DIFFUSION, SITTING DROP
D_1001405150	293	VAPOR DIFFUSION, SITTING DROP
D_1001405151	293	VAPOR DIFFUSION, SITTING DROP
D_1001405152	293	VAPOR DIFFUSION, SITTING DROP
D_1001405153	293	VAPOR DIFFUSION, SITTING DROP
D_1001405154	293	VAPOR DIFFUSION, SITTING DROP
D_1001405155	293	VAPOR DIFFUSION, SITTING DROP
D_1001405156	293	VAPOR DIFFUSION, SITTING DROP
D_1001405157	293	VAPOR DIFFUSION, SITTING DROP
D_1001405158	293	VAPOR DIFFUSION, SITTING DROP
D_1001405159	293	VAPOR DIFFUSION, SITTING DROP
D_1001405160	293	VAPOR DIFFUSION, SITTING DROP
D_1001405161	293	VAPOR DIFFUSION, SITTING DROP
D_1001405162	293	VAPOR DIFFUSION, SITTING DROP
D_1001405163	293	VAPOR DIFFUSION, SITTING DROP
D_1001405164	293	VAPOR DIFFUSION, SITTING DROP
D_1001405165	293	VAPOR DIFFUSION, SITTING DROP
D_1001405166	293	VAPOR DIFFUSION, SITTING DROP
D_1001405167	293	VAPOR DIFFUSION, SITTING DROP
D_1001405168	293	VAPOR DIFFUSION, SITTING DROP
D_1001405169	293	VAPOR DIFFUSION, SITTING DROP
D_1001405170	293	VAPOR DIFFUSION, SITTING DROP
D_1001405171	293	VAPOR DIFFUSION, SITTING DROP
D_1001405172	293	VAPOR DIFFUSION, SITTING DROP
D_1001405173	293	VAPOR DIFFUSION, SITTING DROP
D_1001405174	293	VAPOR DIFFUSION, SITTING DROP
D_1001405175	293	VAPOR DIFFUSION, SITTING DROP
D_1001405176	293	VAPOR DIFFUSION, SITTING DROP
D_1001405177	293	VAPOR DIFFUSION, SITTING DROP
D_1001405178	293	VAPOR DIFFUSION, SITTING DROP
D_1001405179	293	VAPOR DIFFUSION, SITTING DROP
D_1001405180	293	VAPOR DIFFUSION, SITTING DROP
D_1001405181	293	VAPOR DIFFUSION, SITTING DROP
D_1001405182	293	VAPOR DIFFUSION, SITTING DROP
D_1001405183	293	VAPOR DIFFUSION, SITTING DROP
D_1001405184	293	VAPOR DIFFUSION, SITTING DROP
D_1001405185	293	VAPOR DIFFUSION, SITTING DROP
