id	_pdbx_deposit_group.group_title	_pdbx_deposit_group.group_description
D_1001404971	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404972	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404973	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404974	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404975	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404976	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404977	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404978	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404979	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404980	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404981	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404982	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404983	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404984	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404985	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404986	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404987	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404988	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404989	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404990	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404991	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404992	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404993	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404994	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404995	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404996	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404997	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404998	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404999	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405000	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405001	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405002	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405003	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405004	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405005	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405006	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405007	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405008	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405009	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405010	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405011	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405012	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405013	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405014	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405015	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405016	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405017	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405018	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405019	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405020	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405021	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405022	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405023	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405024	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405025	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001405026	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
